All,appliances,All 4000
143.145,143.145,105.0605504587
86.986,86.986,63.8429357798
1788.3496666667,44.183,1312.5502140673
105.319,105.319,77.2983486239
250.051,250.051,183.5236697248
226.497,226.497,166.2363302752
226.982,226.982,166.592293578
86.986,86.986,63.8429357798
163.19,163.19,119.7724770642
2345.4194759071,249.586,1721.4087896566
3340.0166666667,1595.85,2451.3883792049
4175.4733188878,2371.2879,3064.5675734956
2930.54736491,1181.989,2150.8604513101
2252.8156666667,508.649,1653.4426911315
2116.9526666667,372.786,1553.7267278288
1883.0256666667,138.859,1382.0371865444
1815.6346666667,71.468,1332.5759021407
1764.4856666667,20.319,1295.035351682
1986.7046666667,242.538,1458.1318654434
2023.3676666667,279.201,1485.0404892966
272.149,272.149,199.7423853211
214.366,214.366,157.3328440367
452.2302067774,385.882,331.9120783687
238.499,238.499,175.0451376147
526.982,526.982,386.7757798165
541.982,541.982,397.7849541284
105.319,105.319,77.2983486239
2789.5389772221,158.492,2047.3680566768
2438.5766107445,430.496,1789.7809987116
2066.2856666667,322.119,1516.5399388379
