Day-Ahead forecast [MW],Intraday forecast [MW],Real-time Upscaled Measurement [MW],Corrected Upscaled Measurement [MW],Monitored Capacity [MWp]
115.66,144.86,100.26,109.36,2501.53
117.93,141.06,101.24,109.88,2501.53
123.61,137.14,99.34,103.97,2501.53
118.24,127.13,93.76,99.06,2501.53
112.49,117.39,85.66,88.67,2501.53
108.16,107.43,79.79,82.83,2501.53
105.26,97.41,71.14,83.11,2501.53
93.82,87.86,69.13,80.98,2501.53
83.34,78.19,72.12,74.62,2501.53
73.31,68.17,64.05,71.44,2501.53
63.14,57.95,60.04,60.16,2501.53
52.72,48.58,49.77,45,2501.53
41.72,38.6,38.97,28.14,2501.53
30.23,28.09,27.58,18.26,2501.53
18.37,17.19,17.18,9.98,2501.53
6.21,5.85,3.56,3.39,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
0,0,0,0,2501.53
